TIME,TIME_LABEL,GEO,GEO_LABEL,SEX,AGE,UNIT,Value,Flag and Footnotes
1995,1995,FR41,Lorraine (NUTS 2013),Total,Total,Number,2315488,
1996,1996,FRF3,Lorraine,Total,Total,Number,2315782,
1996,1996,FR41,Lorraine (NUTS 2013),Total,Total,Number,2315782,
2012,2012,PT16,Centro (PT),Total,Total,Number,2316169,
1997,1997,FRF3,Lorraine,Total,Total,Number,2316244,
1997,1997,FR41,Lorraine (NUTS 2013),Total,Total,Number,2316244,
1999,1999,PT16,Centro (PT),Total,Total,Number,2316874,
2014,2014,TR52,"Konya, Karaman",Total,Total,Number,2317164,
2010,2010,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2317233,
2010,2010,LT02,Vidurio ir vakaru Lietuvos regionas,Total,Total,Number,2317783,
2009,2009,TRC1,"Gaziantep, Adiyaman, Kilis",Total,Total,Number,2318281,
2001,2001,FRF3,Lorraine,Total,Total,Number,2318791,
2001,2001,FR41,Lorraine (NUTS 2013),Total,Total,Number,2318791,
1998,1998,NL41,Noord-Brabant,Total,Total,Number,2319262,
1996,1996,RO32,Bucuresti - Ilfov,Total,Total,Number,2320924,
2002,2002,LV,Latvia,Total,Total,Number,2320956,
2002,2002,LV0,Latvija,Total,Total,Number,2320956,
2002,2002,LV00,Latvija,Total,Total,Number,2320956,
2008,2008,UKH1,East Anglia,Total,Total,Number,2321845,
2000,2000,FRJ1,Languedoc-Roussillon,Total,Total,Number,2322072,
2000,2000,FR81,Languedoc-Roussillon (NUTS 2013),Total,Total,Number,2322072,
2018,2018,FRF3,Lorraine,Total,Total,Number,2323014,
2002,2002,FRF3,Lorraine,Total,Total,Number,2323026,
2002,2002,FR41,Lorraine (NUTS 2013),Total,Total,Number,2323026,
2010,2010,UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",Total,Total,Number,2324183,
2004,2004,RO41,Sud-Vest Oltenia,Total,Total,Number,2325020,
1990,1990,RO32,Bucuresti - Ilfov,Total,Total,Number,2325037,
1995,1995,DE94,Weser-Ems,Total,Total,Number,2325150,
2014,2014,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Total,Total,Number,2325301,
2018,2018,RO12,Centru,Total,Total,Number,2325747,
2003,2003,FRF3,Lorraine,Total,Total,Number,2326019,
2003,2003,FR41,Lorraine (NUTS 2013),Total,Total,Number,2326019,
2010,2010,TR72,"Kayseri, Sivas, Yozgat",Total,Total,Number,2326584,
2011,2011,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2326753,
2004,2004,FRF3,Lorraine,Total,Total,Number,2328136,
2004,2004,FR41,Lorraine (NUTS 2013),Total,Total,Number,2328136,
2000,2000,PT16,Centro (PT),Total,Total,Number,2328686,
1994,1994,RO32,Bucuresti - Ilfov,Total,Total,Number,2330119,
2017,2017,FR41,Lorraine (NUTS 2013),Total,Total,Number,2330674,p
2017,2017,FRF3,Lorraine,Total,Total,Number,2331204,
2011,2011,PT16,Centro (PT),Total,Total,Number,2331642,b
2012,2012,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2332336,
2005,2005,FRF3,Lorraine,Total,Total,Number,2332468,
2005,2005,FR41,Lorraine (NUTS 2013),Total,Total,Number,2332468,
2013,2013,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2332594,
2017,2017,RO12,Centru,Total,Total,Number,2332935,
2006,2006,DEG,Thüringen,Total,Total,Number,2334575,
2006,2006,DEG0,Thüringen,Total,Total,Number,2334575,
2018,2018,PL92,Mazowiecki regionalny,Total,Total,Number,2334793,
2014,2014,UKM3,South Western Scotland (NUTS 2013),Total,Total,Number,2335115,
2006,2006,FRF3,Lorraine,Total,Total,Number,2335749,
2006,2006,FR41,Lorraine (NUTS 2013),Total,Total,Number,2335749,
