Year,RegionCode,RegionName,GDPPerHead,GDPTotal,NUTSLevel,IncomePerHead,IncomeTotal,Population,CountryOrOtherGrouping
2016,BE21,Prov. Antwerpen,41000,74986007000,2,24193,44247720000,1828927,BE
2016,BE22,Prov. Limburg (BE),28300,24535251000,2,22047,19113660000,866970,BE
2016,BE23,Prov. Oost-Vlaanderen,31900,47501779600,2,25588,38102250000,1489084,BE
2016,BE24,Prov. Vlaams-Brabant,37800,42434280000,2,29031,32590440000,1122600,BE
2016,BE25,Prov. West-Vlaanderen,33700,39914886600,2,23539,27880000000,1184418,BE
2016,BE31,Prov. Brabant wallon,39500,15710927500,2,26674,10609380000,397745,BE
2016,BE32,Prov. Hainaut,21900,29373747300,2,17646,23667770000,1341267,BE
2016,BE33,Prov. Liège,24600,27145854000,2,19274,21268780000,1103490,BE
2016,BE34,Prov. Luxembourg (BE),21400,6061699800,2,21115,5981060000,283257,BE
2016,BE35,Prov. Namur,23600,11612946400,2,21057,10361380000,492074,BE
2016,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2017,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,61700,73984161500,2,20791,24930040000,1199095,BE
2017,BE21,Prov. Antwerpen,41600,76496700800,2,24377,44825380000,1838863,BE
2017,BE22,Prov. Limburg (BE),28800,25046323200,2,22294,19388680000,869664,BE
2017,BE23,Prov. Oost-Vlaanderen,32600,48850545800,2,25851,38737060000,1498483,BE
2017,BE24,Prov. Vlaams-Brabant,38400,43416729600,2,29263,33085629999.999996,1130644,BE
2017,BE25,Prov. West-Vlaanderen,34400,40881200800,2,23900,28403140000,1188407,BE
2017,BE31,Prov. Brabant wallon,41200,16469082000,2,26990,10788740000,399735,BE
2017,BE32,Prov. Hainaut,22400,30061987200,2,17893,24013110000,1342053,BE
2017,BE33,Prov. Liège,25200,27872182800,2,19481,21546820000,1106039,BE
2017,BE34,Prov. Luxembourg (BE),21700,6176188900,2,21617,6152590000,284617,BE
2017,BE35,Prov. Namur,23800,11760222600,2,21302,10525770000,494127,BE
2017,BEZZ,Extra-Regio NUTS 2,0,0,2,0,0,0,BE
2018,BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,62500,75343250000,2,0,0,1205492,BE
2018,BE21,Prov. Antwerpen,42700,78974632100,2,0,0,1849523,BE
2018,BE22,Prov. Limburg (BE),29600,25833074400,2,0,0,872739,BE
2018,BE23,Prov. Oost-Vlaanderen,33600,50609395200,2,0,0,1506232,BE
2018,BE24,Prov. Vlaams-Brabant,39300,44744857800,2,0,0,1138546,BE
2018,BE25,Prov. West-Vlaanderen,35400,42205791600,2,0,0,1192254,BE
2018,BE31,Prov. Brabant wallon,43200,17345145600,2,0,0,401508,BE
2018,BE32,Prov. Hainaut,22900,30772012400,2,0,0,1343756,BE
2018,BE33,Prov. Liège,25700,28485134700,2,0,0,1108371,BE
2018,BE34,Prov. Luxembourg (BE),22200,6327222000,2,0,0,285010,BE
2018,BE35,Prov. Namur,24500,12131371000,2,0,0,495158,BE
2000,BG31,Severozapaden,5000,5406285000,2,2335,2525090000,1081257,BG
2000,BG32,Severen tsentralen,4600,4819282000,2,2628,2752830000,1047670,BG
2000,BG33,Severoiztochen,5400,5540502600,2,2810,2882670000,1026019,BG
2000,BG34,Yugoiztochen,5800,7016178800,2,2908,3518320000,1209686,BG
2000,BG41,Yugozapaden,7600,16284520000,2,4046,8669990000,2142700,BG
2000,BG42,Yuzhen tsentralen,4200,7070884800,2,2979,5015790000,1683544,BG
2001,BG31,Severozapaden,5400,5762772000,2,2501,2668680000,1067180,BG
2001,BG32,Severen tsentralen,5200,5408608400,2,2890,3005850000,1040117,BG
2001,BG33,Severoiztochen,5500,5598164000,2,2930,2982030000,1017848,BG
2001,BG34,Yugoiztochen,5800,6979540200,2,2889,3476270000,1203369,BG
2001,BG41,Yugozapaden,8600,18430746000,2,4394,9417500000,2143110,BG
2001,BG42,Yuzhen tsentralen,4700,7885866800,2,2699,4528160000,1677844,BG
2002,BG31,Severozapaden,5600,5685696800,2,2736,2777920000,1015303,BG
2002,BG32,Severen tsentralen,5800,5698500000,2,3702,3636940000,982500,BG
2002,BG33,Severoiztochen,5900,5981850700,2,3282,3327940000,1013873,BG
2002,BG34,Yugoiztochen,6000,6946266000,2,3509,4062790000,1157711,BG
